in s,C1 in V
-2.98416E-01,-1.765564E-03
-2.98410E-01,-1.292542E-03
-2.98404E-01,-6.669312E-04
-2.98398E-01,-1.328735E-04
-2.98392E-01,3.706665E-04
-2.98386E-01,8.742065E-04
-2.98380E-01,1.270935E-03
-2.98374E-01,1.637146E-03
-2.98368E-01,2.049133E-03
-2.98362E-01,2.415344E-03
-2.98356E-01,2.796814E-03
-2.98350E-01,3.071472E-03
-2.98344E-01,3.300354E-03
-2.98338E-01,3.452942E-03
-2.98332E-01,3.605530E-03
-2.98326E-01,3.925964E-03
-2.98320E-01,4.521057E-03
-2.98314E-01,5.039856E-03
-2.98308E-01,5.543396E-03
-2.98302E-01,6.153748E-03
-2.98296E-01,6.687805E-03
-2.98290E-01,7.206604E-03
-2.98284E-01,7.847473E-03
-2.98278E-01,8.549377E-03
-2.98272E-01,9.068176E-03
-2.98266E-01,9.510681E-03
-2.98260E-01,9.876892E-03
-2.98254E-01,1.006000E-02
-2.98248E-01,1.025836E-02
-2.98242E-01,1.027362E-02
-2.98236E-01,1.028888E-02
-2.98230E-01,1.018207E-02
-2.98224E-01,1.010577E-02
-2.98218E-01,9.861633E-03
-2.98212E-01,9.419128E-03
-2.98206E-01,8.793518E-03
-2.98200E-01,8.381531E-03
-2.98194E-01,7.877991E-03
-2.98188E-01,7.282898E-03
-2.98182E-01,6.809875E-03
-2.98176E-01,6.458923E-03
-2.98170E-01,6.123230E-03
-2.98164E-01,5.970642E-03
-2.98158E-01,6.062195E-03
-2.98152E-01,5.924866E-03
-2.98146E-01,5.924866E-03
-2.98140E-01,6.016418E-03
-2.98134E-01,6.138489E-03
-2.98128E-01,6.382629E-03
-2.98122E-01,6.519958E-03
-2.98116E-01,6.718323E-03
-2.98110E-01,7.176086E-03
-2.98104E-01,7.801697E-03
-2.98098E-01,8.396790E-03
-2.98092E-01,8.946106E-03
-2.98086E-01,9.480164E-03
-2.98080E-01,1.004474E-02
-2.98074E-01,1.076190E-02
-2.98068E-01,1.140277E-02
-2.98062E-01,1.219623E-02
-2.98056E-01,1.291339E-02
-2.98050E-01,1.349323E-02
-2.98044E-01,1.402728E-02
-2.98038E-01,1.465289E-02
-2.98032E-01,1.509540E-02
-2.98026E-01,1.556842E-02
-2.98020E-01,1.591937E-02
-2.98014E-01,1.630084E-02
-2.98008E-01,1.665179E-02
-2.98002E-01,1.692645E-02
-2.97996E-01,1.715533E-02
-2.97990E-01,1.761310E-02
-2.97984E-01,1.770465E-02
-2.97978E-01,1.781146E-02
-2.97972E-01,1.784198E-02
-2.97966E-01,1.796405E-02
-2.97960E-01,1.805560E-02
-2.97954E-01,1.822345E-02
-2.97948E-01,1.852863E-02
-2.97942E-01,1.872699E-02
-2.97936E-01,1.886432E-02
-2.97930E-01,1.886432E-02
-2.97924E-01,1.895587E-02
-2.97918E-01,1.898639E-02
-2.97912E-01,1.901691E-02
-2.97906E-01,1.916949E-02
-2.97900E-01,1.920001E-02
-2.97894E-01,1.910846E-02
-2.97888E-01,1.915424E-02
-2.97882E-01,1.916949E-02
-2.97876E-01,1.912372E-02
-2.97870E-01,1.921527E-02
-2.97864E-01,1.920001E-02
-2.97858E-01,1.921527E-02
-2.97852E-01,1.912372E-02
-2.97846E-01,1.901691E-02
-2.97840E-01,1.881854E-02
-2.97834E-01,1.869647E-02
-2.97828E-01,1.834552E-02
-2.97822E-01,1.794879E-02
-2.97816E-01,1.756732E-02
-2.97810E-01,1.726215E-02
-2.97804E-01,1.686542E-02
-2.97798E-01,1.674335E-02
-2.97792E-01,1.663654E-02
-2.97786E-01,1.642291E-02
-2.97780E-01,1.633136E-02
-2.97774E-01,1.625507E-02
-2.97768E-01,1.610248E-02
-2.97762E-01,1.594989E-02
-2.97756E-01,1.570575E-02
-2.97750E-01,1.547687E-02
-2.97744E-01,1.532428E-02
-2.97738E-01,1.512592E-02
-2.97732E-01,1.479022E-02
-2.97726E-01,1.463763E-02
-2.97720E-01,1.434772E-02
-2.97714E-01,1.402728E-02
-2.97708E-01,1.361530E-02
-2.97702E-01,1.331012E-02
-2.97696E-01,1.309650E-02
-2.97690E-01,1.306598E-02
-2.97684E-01,1.300494E-02
-2.97678E-01,1.329486E-02
-2.97672E-01,1.344745E-02
-2.97666E-01,1.361530E-02
-2.97660E-01,1.393573E-02
-2.97654E-01,1.421039E-02
-2.97648E-01,1.463763E-02
-2.97642E-01,1.497333E-02
-2.97636E-01,1.512592E-02
-2.97630E-01,1.524799E-02
-2.97624E-01,1.540057E-02
-2.97618E-01,1.549213E-02
-2.97612E-01,1.562946E-02
-2.97606E-01,1.569049E-02
-2.97600E-01,1.561420E-02
-2.97594E-01,1.555316E-02
-2.97588E-01,1.558368E-02
-2.97582E-01,1.581256E-02
-2.97576E-01,1.608722E-02
-2.97570E-01,1.614825E-02
-2.97564E-01,1.608722E-02
-2.97558E-01,1.588885E-02
-2.97552E-01,1.576678E-02
-2.97546E-01,1.559894E-02
-2.97540E-01,1.558368E-02
-2.97534E-01,1.540057E-02
-2.97528E-01,1.517169E-02
-2.97522E-01,1.498859E-02
-2.97516E-01,1.483600E-02
-2.97510E-01,1.472919E-02
-2.97504E-01,1.477496E-02
-2.97498E-01,1.489703E-02
-2.97492E-01,1.511066E-02
-2.97486E-01,1.524799E-02
-2.97480E-01,1.544635E-02
-2.97474E-01,1.549213E-02
-2.97468E-01,1.559894E-02
-2.97462E-01,1.567523E-02
-2.97456E-01,1.588885E-02
-2.97450E-01,1.588885E-02
-2.97444E-01,1.611774E-02
-2.97438E-01,1.634662E-02
-2.97432E-01,1.643817E-02
-2.97426E-01,1.654498E-02
-2.97420E-01,1.659076E-02
-2.97414E-01,1.662128E-02
-2.97408E-01,1.659076E-02
-2.97402E-01,1.652972E-02
-2.97396E-01,1.640765E-02
-2.97390E-01,1.625507E-02
-2.97384E-01,1.622455E-02
-2.97378E-01,1.602618E-02
-2.97372E-01,1.584308E-02
-2.97366E-01,1.558368E-02
-2.97360E-01,1.544635E-02
-2.97354E-01,1.527850E-02
-2.97348E-01,1.512592E-02
-2.97342E-01,1.514117E-02
-2.97336E-01,1.508014E-02
-2.97330E-01,1.497333E-02
-2.97324E-01,1.498859E-02
-2.97318E-01,1.498859E-02
-2.97312E-01,1.503436E-02
-2.97306E-01,1.508014E-02
-2.97300E-01,1.506488E-02
-2.97294E-01,1.520221E-02
-2.97288E-01,1.526324E-02
-2.97282E-01,1.535480E-02
-2.97276E-01,1.533954E-02
-2.97270E-01,1.556842E-02
-2.97264E-01,1.585834E-02
-2.97258E-01,1.617877E-02
-2.97252E-01,1.654498E-02
-2.97246E-01,1.685016E-02
-2.97240E-01,1.706378E-02
-2.97234E-01,1.709430E-02
-2.97228E-01,1.730792E-02
-2.97222E-01,1.736896E-02
-2.97216E-01,1.746051E-02
-2.97210E-01,1.739948E-02
-2.97204E-01,1.742999E-02
-2.97198E-01,1.736896E-02
-2.97192E-01,1.750629E-02
-2.97186E-01,1.761310E-02
-2.97180E-01,1.767413E-02
-2.97174E-01,1.782672E-02
-2.97168E-01,1.787250E-02
-2.97162E-01,1.781146E-02
-2.97156E-01,1.793353E-02
-2.97150E-01,1.793353E-02
-2.97144E-01,1.804034E-02
-2.97138E-01,1.807086E-02
-2.97132E-01,1.790302E-02
-2.97126E-01,1.782672E-02
-2.97120E-01,1.788776E-02
-2.97114E-01,1.776569E-02
-2.97108E-01,1.765887E-02
-2.97102E-01,1.768939E-02
-2.97096E-01,1.759784E-02
-2.97090E-01,1.755206E-02
-2.97084E-01,1.756732E-02
-2.97078E-01,1.781146E-02
-2.97072E-01,1.781146E-02
-2.97066E-01,1.758258E-02
-2.97060E-01,1.746051E-02
-2.97054E-01,1.715533E-02
-2.97048E-01,1.686542E-02
-2.97042E-01,1.666705E-02
-2.97036E-01,1.651447E-02
-2.97030E-01,1.627032E-02
-2.97024E-01,1.616351E-02
-2.97018E-01,1.602618E-02
-2.97012E-01,1.585834E-02
-2.97006E-01,1.562946E-02
-2.97000E-01,1.547687E-02
-2.96994E-01,1.555316E-02
-2.96988E-01,1.561420E-02
-2.96982E-01,1.578204E-02
-2.96976E-01,1.567523E-02
-2.96970E-01,1.553790E-02
-2.96964E-01,1.549213E-02
-2.96958E-01,1.532428E-02
-2.96952E-01,1.504962E-02
-2.96946E-01,1.477496E-02
-2.96940E-01,1.457660E-02
-2.96934E-01,1.451556E-02
-2.96928E-01,1.439349E-02
-2.96922E-01,1.395099E-02
-2.96916E-01,1.329486E-02
-2.96910E-01,1.308124E-02
-2.96904E-01,1.257770E-02
-2.96898E-01,1.231830E-02
-2.96892E-01,1.196735E-02
-2.96886E-01,1.181476E-02
-2.96880E-01,1.175372E-02
-2.96874E-01,1.170795E-02
-2.96868E-01,1.146381E-02
-2.96862E-01,1.126544E-02
-2.96856E-01,1.108234E-02
-2.96850E-01,1.091449E-02
-2.96844E-01,1.082294E-02
-2.96838E-01,1.074664E-02
-2.96832E-01,1.060931E-02
-2.96826E-01,1.038043E-02
-2.96820E-01,1.031940E-02
-2.96814E-01,1.022784E-02
-2.96808E-01,9.998962E-03
-2.96802E-01,9.770081E-03
-2.96796E-01,9.525940E-03
-2.96790E-01,9.373352E-03
-2.96784E-01,9.342834E-03
-2.96778E-01,9.449646E-03
-2.96772E-01,9.388611E-03
-2.96766E-01,9.251282E-03
-2.96760E-01,9.327576E-03
-2.96754E-01,9.113953E-03
-2.96748E-01,8.900330E-03
-2.96742E-01,8.778259E-03
-2.96736E-01,8.686707E-03
-2.96730E-01,8.503601E-03
-2.96724E-01,8.274719E-03
-2.96718E-01,7.984802E-03
-2.96712E-01,7.816956E-03
-2.96706E-01,7.679626E-03
-2.96700E-01,7.649109E-03
-2.96694E-01,7.786438E-03
-2.96688E-01,7.847473E-03
-2.96682E-01,7.984802E-03
-2.96676E-01,8.000061E-03
-2.96670E-01,8.000061E-03
-2.96664E-01,8.137390E-03
-2.96658E-01,8.076355E-03
-2.96652E-01,7.969543E-03
-2.96646E-01,7.816956E-03
-2.96640E-01,7.939026E-03
-2.96634E-01,7.847473E-03
-2.96628E-01,7.847473E-03
-2.96622E-01,7.816956E-03
-2.96616E-01,7.816956E-03
-2.96610E-01,7.847473E-03
-2.96604E-01,8.000061E-03
-2.96598E-01,8.213684E-03
-2.96592E-01,8.213684E-03
-2.96586E-01,8.351013E-03
-2.96580E-01,8.412048E-03
-2.96574E-01,8.396790E-03
-2.96568E-01,8.320496E-03
-2.96562E-01,8.137390E-03
-2.96556E-01,8.045837E-03
-2.96550E-01,7.923767E-03
-2.96544E-01,7.679626E-03
-2.96538E-01,7.466003E-03
-2.96532E-01,7.145569E-03
-2.96526E-01,6.794617E-03
-2.96520E-01,6.580994E-03
-2.96514E-01,6.321594E-03
-2.96508E-01,6.138489E-03
-2.96502E-01,6.077454E-03
-2.96496E-01,6.199524E-03
-2.96490E-01,5.985901E-03
-2.96484E-01,6.214783E-03
-2.96478E-01,6.260559E-03
-2.96472E-01,6.336853E-03
-2.96466E-01,6.306335E-03
-2.96460E-01,6.428406E-03
-2.96454E-01,6.413147E-03
-2.96448E-01,6.580994E-03
-2.96442E-01,6.626770E-03
-2.96436E-01,6.565735E-03
-2.96430E-01,6.626770E-03
-2.96424E-01,6.794617E-03
-2.96418E-01,6.733582E-03
-2.96412E-01,6.748840E-03
-2.96406E-01,6.764099E-03
-2.96400E-01,6.657288E-03
-2.96394E-01,6.580994E-03
-2.96388E-01,6.428406E-03
-2.96382E-01,6.382629E-03
-2.96376E-01,6.321594E-03
-2.96370E-01,6.245300E-03
-2.96364E-01,6.092712E-03
-2.96358E-01,6.046936E-03
-2.96352E-01,6.062195E-03
-2.96346E-01,6.031677E-03
-2.96340E-01,6.016418E-03
-2.96334E-01,6.092712E-03
-2.96328E-01,6.382629E-03
-2.96322E-01,6.550476E-03
-2.96316E-01,6.657288E-03
-2.96310E-01,6.611511E-03
-2.96304E-01,6.489441E-03
-2.96298E-01,6.382629E-03
-2.96292E-01,6.306335E-03
-2.96286E-01,6.352112E-03
-2.96280E-01,6.397888E-03
-2.96274E-01,6.321594E-03
-2.96268E-01,6.321594E-03
-2.96262E-01,6.458923E-03
-2.96256E-01,6.428406E-03
-2.96250E-01,6.397888E-03
-2.96244E-01,6.474182E-03
-2.96238E-01,6.550476E-03
-2.96232E-01,6.626770E-03
-2.96226E-01,6.535217E-03
-2.96220E-01,6.504700E-03
-2.96214E-01,6.260559E-03
-2.96208E-01,6.031677E-03
-2.96202E-01,5.680725E-03
-2.96196E-01,5.497620E-03
-2.96190E-01,5.345032E-03
-2.96184E-01,5.253479E-03
-2.96178E-01,5.039856E-03
-2.96172E-01,4.795715E-03
-2.96166E-01,4.551575E-03
-2.96160E-01,4.383728E-03
-2.96154E-01,4.292175E-03
-2.96148E-01,4.261658E-03
-2.96142E-01,4.170105E-03
-2.96136E-01,4.032776E-03
-2.96130E-01,3.956482E-03
-2.96124E-01,4.017517E-03
-2.96118E-01,4.048035E-03
-2.96112E-01,4.109070E-03
-2.96106E-01,4.017517E-03
-2.96100E-01,4.109070E-03
-2.96094E-01,4.170105E-03
-2.96088E-01,4.276917E-03
-2.96082E-01,4.460022E-03
-2.96076E-01,4.521057E-03
-2.96070E-01,4.597351E-03
-2.96064E-01,4.734680E-03
-2.96058E-01,4.719421E-03
-2.96052E-01,4.627869E-03
-2.96046E-01,4.612610E-03
-2.96040E-01,4.475281E-03
-2.96034E-01,4.383728E-03
-2.96028E-01,4.185364E-03
-2.96022E-01,3.941223E-03
-2.96016E-01,3.819153E-03
-2.96010E-01,3.925964E-03
-2.96004E-01,4.063293E-03
-2.95998E-01,4.093811E-03
-2.95992E-01,4.078552E-03
-2.95986E-01,4.185364E-03
-2.95980E-01,4.368469E-03
-2.95974E-01,4.505798E-03
-2.95968E-01,4.688904E-03
-2.95962E-01,4.978821E-03
-2.95956E-01,5.146667E-03
-2.95950E-01,5.497620E-03
-2.95944E-01,5.848572E-03
-2.95938E-01,6.230042E-03
-2.95932E-01,6.367371E-03
-2.95926E-01,6.809875E-03
-2.95920E-01,7.221863E-03
-2.95914E-01,7.496521E-03
-2.95908E-01,7.557556E-03
-2.95902E-01,7.694885E-03
-2.95896E-01,7.786438E-03
-2.95890E-01,7.801697E-03
-2.95884E-01,7.908508E-03
-2.95878E-01,7.923767E-03
-2.95872E-01,8.030579E-03
-2.95866E-01,8.076355E-03
-2.95860E-01,8.137390E-03
-2.95854E-01,8.396790E-03
-2.95848E-01,8.320496E-03
-2.95842E-01,8.366272E-03
-2.95836E-01,8.427307E-03
-2.95830E-01,8.549377E-03
-2.95824E-01,8.732483E-03
-2.95818E-01,8.900330E-03
-2.95812E-01,9.174988E-03
-2.95806E-01,9.602234E-03
-2.95800E-01,9.907410E-03
-2.95794E-01,1.030414E-02
-2.95788E-01,1.063983E-02
-2.95782E-01,1.111285E-02
-2.95776E-01,1.166217E-02
-2.95770E-01,1.205890E-02
-2.95764E-01,1.233356E-02
-2.95758E-01,1.254718E-02
-2.95752E-01,1.269977E-02
-2.95746E-01,1.266925E-02
-2.95740E-01,1.298969E-02
-2.95734E-01,1.321857E-02
-2.95728E-01,1.334064E-02
-2.95722E-01,1.337115E-02
-2.95716E-01,1.337115E-02
-2.95710E-01,1.343219E-02
-2.95704E-01,1.347797E-02
-2.95698E-01,1.352374E-02
-2.95692E-01,1.363055E-02
-2.95686E-01,1.385944E-02
-2.95680E-01,1.411884E-02
-2.95674E-01,1.439349E-02
-2.95668E-01,1.480548E-02
-2.95662E-01,1.491229E-02
-2.95656E-01,1.497333E-02
-2.95650E-01,1.495807E-02
-2.95644E-01,1.472919E-02
-2.95638E-01,1.466815E-02
-2.95632E-01,1.475970E-02
-2.95626E-01,1.491229E-02
-2.95620E-01,1.491229E-02
-2.95614E-01,1.495807E-02
-2.95608E-01,1.511066E-02
-2.95602E-01,1.530902E-02
-2.95596E-01,1.538531E-02
-2.95590E-01,1.552264E-02
-2.95584E-01,1.550739E-02
-2.95578E-01,1.537006E-02
-2.95572E-01,1.515643E-02
-2.95566E-01,1.500385E-02
-2.95560E-01,1.472919E-02
-2.95554E-01,1.443927E-02
-2.95548E-01,1.431720E-02
-2.95542E-01,1.405780E-02
-2.95536E-01,1.373737E-02
-2.95530E-01,1.341693E-02
-2.95524E-01,1.303546E-02
-2.95518E-01,1.262347E-02
-2.95512E-01,1.233356E-02
-2.95506E-01,1.207416E-02
-2.95500E-01,1.181476E-02
-2.95494E-01,1.138751E-02
-2.95488E-01,1.121967E-02
-2.95482E-01,1.091449E-02
-2.95476E-01,1.074664E-02
-2.95470E-01,1.050250E-02
-2.95464E-01,1.024310E-02
-2.95458E-01,9.968445E-03
-2.95452E-01,9.709045E-03
-2.95446E-01,9.632751E-03
-2.95440E-01,9.480164E-03
-2.95434E-01,9.159729E-03
-2.95428E-01,8.946106E-03
-2.95422E-01,9.022400E-03
-2.95416E-01,9.022400E-03
-2.95410E-01,9.007141E-03
-2.95404E-01,9.068176E-03
-2.95398E-01,9.174988E-03
-2.95392E-01,9.052917E-03
-2.95386E-01,8.885071E-03
-2.95380E-01,8.808777E-03
-2.95374E-01,8.671448E-03
-2.95368E-01,8.564636E-03
-2.95362E-01,8.595154E-03
-2.95356E-01,8.534119E-03
-2.95350E-01,8.427307E-03
-2.95344E-01,8.244202E-03
-2.95338E-01,8.045837E-03
-2.95332E-01,7.862732E-03
-2.95326E-01,7.664368E-03
-2.95320E-01,7.588074E-03
-2.95314E-01,7.527039E-03
-2.95308E-01,7.481262E-03
-2.95302E-01,7.420227E-03
-2.95296E-01,7.389709E-03
-2.95290E-01,7.374451E-03
-2.95284E-01,7.374451E-03
-2.95278E-01,7.176086E-03
-2.95272E-01,7.191345E-03
-2.95266E-01,7.221863E-03
-2.95260E-01,7.267639E-03
-2.95254E-01,7.267639E-03
-2.95248E-01,7.282898E-03
-2.95242E-01,7.374451E-03
-2.95236E-01,7.450745E-03
-2.95230E-01,7.664368E-03
-2.95224E-01,7.694885E-03
-2.95218E-01,7.755920E-03
-2.95212E-01,7.832214E-03
-2.95206E-01,7.969543E-03
-2.95200E-01,8.198425E-03
-2.95194E-01,8.442566E-03
-2.95188E-01,8.778259E-03
-2.95182E-01,9.098694E-03
-2.95176E-01,9.541199E-03
-2.95170E-01,9.876892E-03
